"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2008-2017","0.9","",
"01","Alabama","01003","Baldwin","2008-2017","1.0","",
"01","Alabama","01005","Barbour","2008-2017","0.6","< 10 Tests",
"01","Alabama","01007","Bibb","2008-2017","2.5","< 10 Tests",
"01","Alabama","01009","Blount","2008-2017","2.0","",
"01","Alabama","01011","Bullock","2008-2017","No Events","",
"01","Alabama","01013","Butler","2008-2017","0.9","< 10 Tests",
"01","Alabama","01015","Calhoun","2008-2017","1.4","",
"01","Alabama","01017","Chambers","2008-2017","0.8","< 10 Tests",
"01","Alabama","01019","Cherokee","2008-2017","1.5","< 10 Tests",
"01","Alabama","01021","Chilton","2008-2017","1.1","",
"01","Alabama","01023","Choctaw","2008-2017","0.8","< 10 Tests",
"01","Alabama","01025","Clarke","2008-2017","0.4","< 10 Tests",
"01","Alabama","01027","Clay","2008-2017","0.9","",
"01","Alabama","01029","Cleburne","2008-2017","1.5","",
"01","Alabama","01031","Coffee","2008-2017","2.4","< 10 Tests",
"01","Alabama","01033","Colbert","2008-2017","2.7","",
"01","Alabama","01035","Conecuh","2008-2017","0.6","< 10 Tests",
"01","Alabama","01037","Coosa","2008-2017","1.4","< 10 Tests",
"01","Alabama","01039","Covington","2008-2017","0.6","< 10 Tests",
"01","Alabama","01041","Crenshaw","2008-2017","1.1","< 10 Tests",
"01","Alabama","01043","Cullman","2008-2017","1.5","",
"01","Alabama","01045","Dale","2008-2017","2.1","< 10 Tests",
"01","Alabama","01047","Dallas","2008-2017","0.5","< 10 Tests",
"01","Alabama","01049","DeKalb","2008-2017","0.9","",
"01","Alabama","01051","Elmore","2008-2017","1.2","",
"01","Alabama","01053","Escambia","2008-2017","1.2","< 10 Tests",
"01","Alabama","01055","Etowah","2008-2017","1.4","",
"01","Alabama","01057","Fayette","2008-2017","1.1","< 10 Tests",
"01","Alabama","01059","Franklin","2008-2017","1.4","",
"01","Alabama","01061","Geneva","2008-2017","1.2","< 10 Tests",
"01","Alabama","01063","Greene","2008-2017","0.2","< 10 Tests",
"01","Alabama","01065","Hale","2008-2017","3.9","",
"01","Alabama","01067","Henry","2008-2017","2.1","< 10 Tests",
"01","Alabama","01069","Houston","2008-2017","1.3","",
"01","Alabama","01071","Jackson","2008-2017","1.5","",
"01","Alabama","01073","Jefferson","2008-2017","1.2","",
"01","Alabama","01075","Lamar","2008-2017","7.5","< 10 Tests",
"01","Alabama","01077","Lauderdale","2008-2017","2.2","",
"01","Alabama","01079","Lawrence","2008-2017","1.7","",
"01","Alabama","01081","Lee","2008-2017","1.3","",
"01","Alabama","01083","Limestone","2008-2017","1.3","",
"01","Alabama","01085","Lowndes","2008-2017","0.9","< 10 Tests",
"01","Alabama","01087","Macon","2008-2017","0.2","< 10 Tests",
"01","Alabama","01089","Madison","2008-2017","1.9","",
"01","Alabama","01091","Marengo","2008-2017","9.3","< 10 Tests",
"01","Alabama","01093","Marion","2008-2017","1.0","",
"01","Alabama","01095","Marshall","2008-2017","1.3","",
"01","Alabama","01097","Mobile","2008-2017","0.5","",
"01","Alabama","01099","Monroe","2008-2017","0.2","< 10 Tests",
"01","Alabama","01101","Montgomery","2008-2017","0.9","",
"01","Alabama","01103","Morgan","2008-2017","1.4","",
"01","Alabama","01105","Perry","2008-2017","3.2","< 10 Tests",
"01","Alabama","01107","Pickens","2008-2017","0.9","< 10 Tests",
"01","Alabama","01109","Pike","2008-2017","1.7","< 10 Tests",
"01","Alabama","01111","Randolph","2008-2017","3.7","",
"01","Alabama","01113","Russell","2008-2017","0.9","< 10 Tests",
"01","Alabama","01117","Shelby","2008-2017","1.3","",
"01","Alabama","01115","St. Clair","2008-2017","1.2","",
"01","Alabama","01119","Sumter","2008-2017","2.3","< 10 Tests",
"01","Alabama","01121","Talladega","2008-2017","1.6","",
"01","Alabama","01123","Tallapoosa","2008-2017","0.9","",
"01","Alabama","01125","Tuscaloosa","2008-2017","1.4","",
"01","Alabama","01127","Walker","2008-2017","1.4","",
"01","Alabama","01129","Washington","2008-2017","1.4","< 10 Tests",
"01","Alabama","01131","Wilcox","2008-2017","No Events","",
"01","Alabama","01133","Winston","2008-2017","1.6","< 10 Tests",
"02","Alaska","02013","Aleutians East","2008-2017","No Events","",
"02","Alaska","02016","Aleutians West","2008-2017","No Events","",
"02","Alaska","02020","Anchorage","2008-2017","1.1","",
"02","Alaska","02050","Bethel","2008-2017","No Events","",
"02","Alaska","02060","Bristol Bay","2008-2017","No Events","",
"02","Alaska","02068","Denali","2008-2017","No Events","",
"02","Alaska","02070","Dillingham","2008-2017","No Events","",
"02","Alaska","02090","Fairbanks North Star","2008-2017","2.2","",
"02","Alaska","02100","Haines","2008-2017","No Events","",
"02","Alaska","02105","HOONAH-ANGOON CENSUS AREA","2008-2017","No Events","",
"02","Alaska","02110","Juneau","2008-2017","0.2","< 10 Tests",
"02","Alaska","02122","Kenai Peninsula","2008-2017","2.1","",
"02","Alaska","02130","Ketchikan Gateway","2008-2017","No Events","",
"02","Alaska","02150","Kodiak Island","2008-2017","2.8","< 10 Tests",
"02","Alaska","02164","Lake and Peninsula","2008-2017","No Events","",
"02","Alaska","02170","Matanuska-Susitna","2008-2017","1.7","",
"02","Alaska","02180","Nome","2008-2017","No Events","",
"02","Alaska","02185","North Slope","2008-2017","No Events","",
"02","Alaska","02188","Northwest Arctic","2008-2017","No Events","",
"02","Alaska","02195","PETERSBURG CENSUS AREA","2008-2017","No Events","",
"02","Alaska","02198","PRINCE OF WALES-HYDER CENSUS AREA","2008-2017","No Events","",
"02","Alaska","02220","Sitka","2008-2017","0.2","< 10 Tests",
"02","Alaska","02230","SKAGWAY MUNICIPALITY","2008-2017","No Events","",
"02","Alaska","02240","Southeast Fairbanks","2008-2017","2.9","< 10 Tests",
"02","Alaska","02261","Valdez-Cordova","2008-2017","0.8","< 10 Tests",
"02","Alaska","02270","Wade Hampton","2008-2017","No Events","",
"02","Alaska","02275","WRANGELL CITY AND BURROUGH","2008-2017","No Events","",
"02","Alaska","02282","Yakutat","2008-2017","No Events","",
"02","Alaska","02290","Yukon-Koyukuk","2008-2017","No Events","",
"04","Arizona","04001","Apache","2008-2017","1.9","< 10 Tests",
"04","Arizona","04003","Cochise","2008-2017","2.8","",
"04","Arizona","04005","Coconino","2008-2017","2.3","",
"04","Arizona","04007","Gila","2008-2017","5.7","",
"04","Arizona","04009","Graham","2008-2017","3.0","",
"04","Arizona","04011","Greenlee","2008-2017","No Events","",
"04","Arizona","04012","La Paz","2008-2017","No Events","",
"04","Arizona","04013","Maricopa","2008-2017","1.6","",
"04","Arizona","04015","Mohave","2008-2017","0.2","",
"04","Arizona","04017","Navajo","2008-2017","1.1","",
"04","Arizona","04019","Pima","2008-2017","1.1","",
"04","Arizona","04021","Pinal","2008-2017","0.9","",
"04","Arizona","04023","Santa Cruz","2008-2017","1.7","< 10 Tests",
"04","Arizona","04025","Yavapai","2008-2017","1.6","",
"04","Arizona","04027","Yuma","2008-2017","0.6","",
"05","Arkansas","05001","Arkansas","2008-2017","1.3","< 10 Tests",
"05","Arkansas","05003","Ashley","2008-2017","No Events","",
"05","Arkansas","05005","Baxter","2008-2017","5.3","",
"05","Arkansas","05007","Benton","2008-2017","2.2","",
