"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2010-2011","6.7%","",
"01","Alabama","01003","Baldwin","2010-2011","2.2%","",
"01","Alabama","01005","Barbour","2010-2011","0.0%","",
"01","Alabama","01007","Bibb","2010-2011","9.1%","",
"01","Alabama","01009","Blount","2010-2011","0.0%","",
"01","Alabama","01011","Bullock","2010-2011","0.0%","",
"01","Alabama","01013","Butler","2010-2011","0.0%","",
"01","Alabama","01015","Calhoun","2010-2011","0.0%","",
"01","Alabama","01017","Chambers","2010-2011","0.0%","",
"01","Alabama","01019","Cherokee","2010-2011","12.5%","",
"01","Alabama","01021","Chilton","2010-2011","0.0%","",
"01","Alabama","01023","Choctaw","2010-2011","0.0%","",
"01","Alabama","01025","Clarke","2010-2011","9.1%","",
"01","Alabama","01027","Clay","2010-2011","0.0%","",
"01","Alabama","01029","Cleburne","2010-2011","12.5%","",
"01","Alabama","01031","Coffee","2010-2011","0.0%","",
"01","Alabama","01033","Colbert","2010-2011","0.0%","",
"01","Alabama","01035","Conecuh","2010-2011","42.9%","",
"01","Alabama","01037","Coosa","2010-2011","0.0%","",
"01","Alabama","01039","Covington","2010-2011","0.0%","",
"01","Alabama","01041","Crenshaw","2010-2011","0.0%","",
"01","Alabama","01043","Cullman","2010-2011","0.0%","",
"01","Alabama","01045","Dale","2010-2011","12.5%","",
"01","Alabama","01047","Dallas","2010-2011","10.3%","",
"01","Alabama","01049","DeKalb","2010-2011","21.1%","",
"01","Alabama","01051","Elmore","2010-2011","0.0%","",
"01","Alabama","01053","Escambia","2010-2011","0.0%","",
"01","Alabama","01055","Etowah","2010-2011","7.0%","",
"01","Alabama","01057","Fayette","2010-2011","0.0%","",
"01","Alabama","01059","Franklin","2010-2011","7.7%","",
"01","Alabama","01061","Geneva","2010-2011","0.0%","",
"01","Alabama","01063","Greene","2010-2011","20.0%","",
"01","Alabama","01065","Hale","2010-2011","0.0%","",
"01","Alabama","01067","Henry","2010-2011","0.0%","",
"01","Alabama","01069","Houston","2010-2011","9.7%","",
"01","Alabama","01071","Jackson","2010-2011","8.0%","",
"01","Alabama","01073","Jefferson","2010-2011","4.2%","",
"01","Alabama","01075","Lamar","2010-2011","0.0%","",
"01","Alabama","01077","Lauderdale","2010-2011","4.5%","",
"01","Alabama","01079","Lawrence","2010-2011","6.7%","",
"01","Alabama","01081","Lee","2010-2011","9.4%","",
"01","Alabama","01083","Limestone","2010-2011","0.0%","",
"01","Alabama","01085","Lowndes","2010-2011","0.0%","",
"01","Alabama","01087","Macon","2010-2011","0.0%","",
"01","Alabama","01089","Madison","2010-2011","3.4%","",
"01","Alabama","01091","Marengo","2010-2011","30.8%","",
"01","Alabama","01093","Marion","2010-2011","13.3%","",
"01","Alabama","01095","Marshall","2010-2011","11.8%","",
"01","Alabama","01097","Mobile","2010-2011","2.6%","",
"01","Alabama","01099","Monroe","2010-2011","0.0%","",
"01","Alabama","01101","Montgomery","2010-2011","5.7%","",
"01","Alabama","01103","Morgan","2010-2011","2.2%","",
"01","Alabama","01105","Perry","2010-2011","0.0%","",
"01","Alabama","01107","Pickens","2010-2011","0.0%","",
"01","Alabama","01109","Pike","2010-2011","0.0%","",
"01","Alabama","01111","Randolph","2010-2011","18.2%","",
"01","Alabama","01113","Russell","2010-2011","10.5%","",
"01","Alabama","01117","Shelby","2010-2011","2.2%","",
"01","Alabama","01115","St. Clair","2010-2011","0.0%","",
"01","Alabama","01119","Sumter","2010-2011","14.3%","",
"01","Alabama","01121","Talladega","2010-2011","5.6%","",
"01","Alabama","01123","Tallapoosa","2010-2011","0.0%","",
"01","Alabama","01125","Tuscaloosa","2010-2011","1.6%","",
"01","Alabama","01127","Walker","2010-2011","0.0%","",
"01","Alabama","01129","Washington","2010-2011","12.5%","",
"01","Alabama","01131","Wilcox","2010-2011","0.0%","",
"01","Alabama","01133","Winston","2010-2011","0.0%","",
"02","Alaska","02013","Aleutians East","2010-2011","0.0%","",
"02","Alaska","02016","Aleutians West","2010-2011","0.0%","",
"02","Alaska","02020","Anchorage","2010-2011","2.0%","",
"02","Alaska","02050","Bethel","2010-2011","0.0%","",
"02","Alaska","02060","Bristol Bay","2010-2011","0.0%","",
"02","Alaska","02068","Denali","2010-2011","0.0%","",
"02","Alaska","02070","Dillingham","2010-2011","0.0%","",
"02","Alaska","02090","Fairbanks North Star","2010-2011","0.0%","",
"02","Alaska","02100","Haines","2010-2011","0.0%","",
"02","Alaska","02110","Juneau","2010-2011","0.0%","",
"02","Alaska","02122","Kenai Peninsula","2010-2011","0.0%","",
"02","Alaska","02130","Ketchikan Gateway","2010-2011","0.0%","",
"02","Alaska","02150","Kodiak Island","2010-2011","0.0%","",
"02","Alaska","02164","Lake and Peninsula","2010-2011","0.0%","",
"02","Alaska","02170","Matanuska-Susitna","2010-2011","11.4%","",
"02","Alaska","02180","Nome","2010-2011","0.0%","",
"02","Alaska","02185","North Slope","2010-2011","0.0%","",
"02","Alaska","02188","Northwest Arctic","2010-2011","0.0%","",
"02","Alaska","02201","Prince of Wales-Outer Ketchikan","2010-2011","0.0%","",
"02","Alaska","02220","Sitka","2010-2011","0.0%","",
"02","Alaska","02232","Skagway-Hoonah-Angoon","2010-2011","0.0%","",
"02","Alaska","02240","Southeast Fairbanks","2010-2011","7.7%","",
"02","Alaska","02261","Valdez-Cordova","2010-2011","11.8%","",
"02","Alaska","02270","Wade Hampton","2010-2011","0.0%","",
"02","Alaska","02280","Wrangell-Petersburg","2010-2011","0.0%","",
"02","Alaska","02282","Yakutat","2010-2011","0.0%","",
"02","Alaska","02290","Yukon-Koyukuk","2010-2011","0.0%","",
"04","Arizona","04001","Apache","2010-2011","7.4%","",
"04","Arizona","04003","Cochise","2010-2011","1.2%","",
"04","Arizona","04005","Coconino","2010-2011","6.1%","",
"04","Arizona","04007","Gila","2010-2011","20.0%","",
"04","Arizona","04009","Graham","2010-2011","25.7%","",
"04","Arizona","04011","Greenlee","2010-2011","0.0%","",
"04","Arizona","04012","La Paz","2010-2011","0.0%","",
"04","Arizona","04013","Maricopa","2010-2011","1.7%","",
"04","Arizona","04015","Mohave","2010-2011","1.4%","",
"04","Arizona","04017","Navajo","2010-2011","9.1%","",
"04","Arizona","04019","Pima","2010-2011","3.5%","",
"04","Arizona","04021","Pinal","2010-2011","0.0%","",
"04","Arizona","04023","Santa Cruz","2010-2011","3.6%","",
"04","Arizona","04025","Yavapai","2010-2011","0.0%","",
"04","Arizona","04027","Yuma","2010-2011","8.7%","",
"05","Arkansas","05001","Arkansas","2010-2011","0.0%","",
"05","Arkansas","05003","Ashley","2010-2011","22.2%","",
"05","Arkansas","05005","Baxter","2010-2011","0.0%","",
"05","Arkansas","05007","Benton","2010-2011","0.0%","",
"05","Arkansas","05009","Boone","2010-2011","15.0%","",
"05","Arkansas","05011","Bradley","2010-2011","0.0%","",
"05","Arkansas","05013","Calhoun","2010-2011","0.0%","",
"05","Arkansas","05015","Carroll","2010-2011","0.0%","",
"05","Arkansas","05017","Chicot","2010-2011","0.0%","",
"05","Arkansas","05019","Clark","2010-2011","0.0%","",
"05","Arkansas","05021","Clay","2010-2011","0.0%","",
"05","Arkansas","05023","Cleburne","2010-2011","0.0%","",
"05","Arkansas","05025","Cleveland","2010-2011","0.0%","",
"05","Arkansas","05027","Columbia","2010-2011","0.0%","",
"05","Arkansas","05029","Conway","2010-2011","0.0%","",
"05","Arkansas","05031","Craighead","2010-2011","0.0%","",
"05","Arkansas","05033","Crawford","2010-2011","8.7%","",
"05","Arkansas","05035","Crittenden","2010-2011","0.0%","",
"05","Arkansas","05037","Cross","2010-2011","0.0%","",
"05","Arkansas","05039","Dallas","2010-2011","0.0%","",
"05","Arkansas","05041","Desha","2010-2011","0.0%","",
"05","Arkansas","05043","Drew","2010-2011","0.0%","",
"05","Arkansas","05045","Faulkner","2010-2011","10.5%","",
"05","Arkansas","05047","Franklin","2010-2011","0.0%","",
"05","Arkansas","05049","Fulton","2010-2011","66.7%","",
"05","Arkansas","05051","Garland","2010-2011","0.0%","",
"05","Arkansas","05053","Grant","2010-2011","50.0%","",
"05","Arkansas","05055","Greene","2010-2011","0.0%","",
"05","Arkansas","05057","Hempstead","2010-2011","0.0%","",
"05","Arkansas","05059","Hot Spring","2010-2011","0.0%","",
"05","Arkansas","05061","Howard","2010-2011","0.0%","",
"05","Arkansas","05063","Independence","2010-2011","7.1%","",
"05","Arkansas","05065","Izard","2010-2011","0.0%","",
"05","Arkansas","05067","Jackson","2010-2011","0.0%","",
"05","Arkansas","05069","Jefferson","2010-2011","3.3%","",
"05","Arkansas","05071","Johnson","2010-2011","0.0%","",
"05","Arkansas","05073","Lafayette","2010-2011","25.0%","",
"05","Arkansas","05075","Lawrence","2010-2011","23.1%","",
"05","Arkansas","05077","Lee","2010-2011","0.0%","",
"05","Arkansas","05079","Lincoln","2010-2011","0.0%","",
"05","Arkansas","05081","Little River","2010-2011","0.0%","",
"05","Arkansas","05083","Logan","2010-2011","0.0%","",
"05","Arkansas","05085","Lonoke","2010-2011","0.0%","",
"05","Arkansas","05087","Madison","2010-2011","0.0%","",
"05","Arkansas","05089","Marion","2010-2011","0.0%","",
"05","Arkansas","05091","Miller","2010-2011","0.0%","",
"05","Arkansas","05093","Mississippi","2010-2011","3.6%","",
"05","Arkansas","05095","Monroe","2010-2011","25.0%","",
"05","Arkansas","05097","Montgomery","2010-2011","16.7%","",
"05","Arkansas","05099","Nevada","2010-2011","0.0%","",
"05","Arkansas","05101","Newton","2010-2011","0.0%","",
"05","Arkansas","05103","Ouachita","2010-2011","0.0%","",
"05","Arkansas","05105","Perry","2010-2011","0.0%","",
"05","Arkansas","05107","Phillips","2010-2011","15.4%","",
"05","Arkansas","05109","Pike","2010-2011","0.0%","",
"05","Arkansas","05111","Poinsett","2010-2011","0.0%","",
"05","Arkansas","05113","Polk","2010-2011","18.2%","",
"05","Arkansas","05115","Pope","2010-2011","0.0%","",
"05","Arkansas","05117","Prairie","2010-2011","0.0%","",
"05","Arkansas","05119","Pulaski","2010-2011","0.8%","",
"05","Arkansas","05121","Randolph","2010-2011","0.0%","",
"05","Arkansas","05125","Saline","2010-2011","0.0%","",
"05","Arkansas","05127","Scott","2010-2011","16.7%","",
"05","Arkansas","05129","Searcy","2010-2011","33.3%","",
"05","Arkansas","05131","Sebastian","2010-2011","0.0%","",
"05","Arkansas","05133","Sevier","2010-2011","11.1%","",
"05","Arkansas","05135","Sharp","2010-2011","75.0%","",
"05","Arkansas","05123","St. Francis","2010-2011","0.0%","",
"05","Arkansas","05137","Stone","2010-2011","0.0%","",
"05","Arkansas","05139","Union","2010-2011","0.0%","",
"05","Arkansas","05141","Van Buren","2010-2011","25.0%","",
"05","Arkansas","05143","Washington","2010-2011","1.6%","",
"05","Arkansas","05145","White","2010-2011","0.0%","",
"05","Arkansas","05147","Woodruff","2010-2011","0.0%","",
"05","Arkansas","05149","Yell","2010-2011","0.0%","",
"06","California","06001","Alameda","2010-2011","2.0%","",
"06","California","06003","Alpine","2010-2011","0.0%","",
"06","California","06005","Amador","2010-2011","17.6%","",
"06","California","06007","Butte","2010-2011","0.0%","",
