"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment","Maternal Race Ethnicity"
"01","Alabama","01001","Autauga","2017","1,907.6","","White not including Hispanic"
"01","Alabama","01001","Autauga","2017","1,800.8","","Black not including Hispanic"
"01","Alabama","01001","Autauga","2017","1,533.4","","Other not including Hispanic"
"01","Alabama","01001","Autauga","2017","2,295.4","","Hispanic"
"01","Alabama","01003","Baldwin","2017","1,896.0","","White not including Hispanic"
"01","Alabama","01003","Baldwin","2017","1,860.6","","Black not including Hispanic"
"01","Alabama","01003","Baldwin","2017","1,263.9","","Other not including Hispanic"
"01","Alabama","01003","Baldwin","2017","2,866.6","","Hispanic"
"01","Alabama","01005","Barbour","2017","1,807.4","","White not including Hispanic"
"01","Alabama","01005","Barbour","2017","2,148.4","","Black not including Hispanic"
"01","Alabama","01005","Barbour","2017","No Events","Unstable","Other not including Hispanic"
"01","Alabama","01005","Barbour","2017","3,891.8","","Hispanic"
"01","Alabama","01007","Bibb","2017","2,075.3","","White not including Hispanic"
"01","Alabama","01007","Bibb","2017","1,468.9","","Black not including Hispanic"
"01","Alabama","01007","Bibb","2017","No Events","","Other not including Hispanic"
"01","Alabama","01007","Bibb","2017","2,773.8","Unstable","Hispanic"
"01","Alabama","01009","Blount","2017","1,928.9","","White not including Hispanic"
"01","Alabama","01009","Blount","2017","874.3","Unstable","Black not including Hispanic"
"01","Alabama","01009","Blount","2017","611.9","Unstable","Other not including Hispanic"
"01","Alabama","01009","Blount","2017","2,465.4","","Hispanic"
"01","Alabama","01011","Bullock","2017","1,129.0","Unstable","White not including Hispanic"
"01","Alabama","01011","Bullock","2017","1,847.0","","Black not including Hispanic"
"01","Alabama","01011","Bullock","2017","No Events","","Other not including Hispanic"
"01","Alabama","01011","Bullock","2017","3,384.1","","Hispanic"
"01","Alabama","01013","Butler","2017","2,282.9","","White not including Hispanic"
"01","Alabama","01013","Butler","2017","1,828.2","","Black not including Hispanic"
"01","Alabama","01013","Butler","2017","500.0","Unstable","Other not including Hispanic"
"01","Alabama","01013","Butler","2017","No Events","Unstable","Hispanic"
"01","Alabama","01015","Calhoun","2017","1,686.9","","White not including Hispanic"
"01","Alabama","01015","Calhoun","2017","1,874.8","","Black not including Hispanic"
"01","Alabama","01015","Calhoun","2017","1,232.8","","Other not including Hispanic"
"01","Alabama","01015","Calhoun","2017","2,501.9","","Hispanic"
"01","Alabama","01017","Chambers","2017","1,689.8","","White not including Hispanic"
"01","Alabama","01017","Chambers","2017","1,716.1","","Black not including Hispanic"
"01","Alabama","01017","Chambers","2017","2,457.8","Unstable","Other not including Hispanic"
"01","Alabama","01017","Chambers","2017","5,261.2","","Hispanic"
"01","Alabama","01019","Cherokee","2017","1,646.4","","White not including Hispanic"
"01","Alabama","01019","Cherokee","2017","1,165.0","Unstable","Black not including Hispanic"
"01","Alabama","01019","Cherokee","2017","833.3","Unstable","Other not including Hispanic"
"01","Alabama","01019","Cherokee","2017","1,145.8","Unstable","Hispanic"
"01","Alabama","01021","Chilton","2017","2,029.0","","White not including Hispanic"
"01","Alabama","01021","Chilton","2017","1,523.5","","Black not including Hispanic"
"01","Alabama","01021","Chilton","2017","1,464.6","Unstable","Other not including Hispanic"
"01","Alabama","01021","Chilton","2017","3,823.6","","Hispanic"
"01","Alabama","01023","Choctaw","2017","1,920.4","","White not including Hispanic"
