"stateFIPS","State","countyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2016","9.16","",
"01","Alabama","01003","Baldwin","2016","19.97","",
"01","Alabama","01005","Barbour","2016","17.12","",
"01","Alabama","01007","Bibb","2016","78.55","",
"01","Alabama","01009","Blount","2016","4.36","",
"01","Alabama","01011","Bullock","2016","49.48","",
"01","Alabama","01013","Butler","2016","39.62","",
"01","Alabama","01015","Calhoun","2016","39.39","",
"01","Alabama","01017","Chambers","2016","No Counts","",
"01","Alabama","01019","Cherokee","2016","17.32","",
"01","Alabama","01021","Chilton","2016","No Counts","",
"01","Alabama","01023","Choctaw","2016","18.04","",
"01","Alabama","01025","Clarke","2016","23.23","",
"01","Alabama","01027","Clay","2016","92.59","",
"01","Alabama","01029","Cleburne","2016","No Counts","",
"01","Alabama","01031","Coffee","2016","14.01","",
"01","Alabama","01033","Colbert","2016","26.64","",
"01","Alabama","01035","Conecuh","2016","29.48","",
"01","Alabama","01037","Coosa","2016","No Counts","",
"01","Alabama","01039","Covington","2016","38.92","",
"01","Alabama","01041","Crenshaw","2016","64.00","",
"01","Alabama","01043","Cullman","2016","14.30","",
"01","Alabama","01045","Dale","2016","13.73","",
"01","Alabama","01047","Dallas","2016","34.00","",
"01","Alabama","01049","DeKalb","2016","16.17","",
"01","Alabama","01051","Elmore","2016","12.11","",
"01","Alabama","01053","Escambia","2016","21.40","",
"01","Alabama","01055","Etowah","2016","63.77","",
"01","Alabama","01057","Fayette","2016","96.86","",
"01","Alabama","01059","Franklin","2016","36.90","",
"01","Alabama","01061","Geneva","2016","61.59","",
"01","Alabama","01063","Greene","2016","101.71","",
"01","Alabama","01065","Hale","2016","12.69","",
"01","Alabama","01067","Henry","2016","No Counts","",
"01","Alabama","01069","Houston","2016","64.50","",
"01","Alabama","01071","Jackson","2016","17.28","",
"01","Alabama","01073","Jefferson","2016","66.05","",
"01","Alabama","01075","Lamar","2016","No Counts","",
"01","Alabama","01077","Lauderdale","2016","29.99","",
"01","Alabama","01079","Lawrence","2016","12.52","",
"01","Alabama","01081","Lee","2016","33.87","",
"01","Alabama","01083","Limestone","2016","8.58","",
"01","Alabama","01085","Lowndes","2016","No Counts","",
"01","Alabama","01087","Macon","2016","No Counts","",
"01","Alabama","01089","Madison","2016","37.78","",
"01","Alabama","01091","Marengo","2016","22.35","",
"01","Alabama","01093","Marion","2016","26.32","",
"01","Alabama","01095","Marshall","2016","21.93","",
"01","Alabama","01097","Mobile","2016","35.91","",
"01","Alabama","01099","Monroe","2016","19.07","",
"01","Alabama","01101","Montgomery","2016","50.71","",
"01","Alabama","01103","Morgan","2016","9.21","",
"01","Alabama","01105","Perry","2016","No Counts","",
"01","Alabama","01107","Pickens","2016","26.33","",
"01","Alabama","01109","Pike","2016","No Counts","",
"01","Alabama","01111","Randolph","2016","11.35","",
"01","Alabama","01113","Russell","2016","15.68","",
"01","Alabama","01117","Shelby","2016","14.51","",
"01","Alabama","01115","St. Clair","2016","4.79","",
"01","Alabama","01119","Sumter","2016","23.98","",
"01","Alabama","01121","Talladega","2016","21.02","",
"01","Alabama","01123","Tallapoosa","2016","22.59","",
"01","Alabama","01125","Tuscaloosa","2016","118.36","",
"01","Alabama","01127","Walker","2016","23.57","",
"01","Alabama","01129","Washington","2016","11.38","",
"01","Alabama","01131","Wilcox","2016","17.99","",
"01","Alabama","01133","Winston","2016","24.10","",
